Index,Condition
1,3
2,5
3,4
4,4
5,4
6,3
7,3
8,3
9,4
10,3
11,3
12,5
13,3
14,4
15,3
16,4
17,4
18,3
19,3
20,3
21,5
22,4
23,3
24,3
25,3
26,4
27,4
28,5
29,3
30,4
31,4
32,3
33,3
34,3
35,3
36,3
37,4
38,4
39,5
40,4
41,4
42,4
43,4
44,3
45,2
46,3
47,4
48,3
49,3
50,3
51,3
52,3
53,4
54,3
55,3
56,4
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,4
68,4
69,3
70,5
71,3
72,3
73,3
74,3
75,3
76,3
77,4
78,3
79,4
80,3
81,3
82,3
83,5
84,4
85,4
86,2
87,5
88,3
89,3
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,3
98,3
99,3
100,5
101,3
102,3
103,3
104,3
105,4
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,5
115,3
116,4
117,3
118,5
119,3
120,4
121,5
122,4
123,3
124,3
125,4
126,4
127,5
128,4
129,3
130,3
131,3
132,4
133,3
134,3
135,3
136,4
137,4
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,3
153,3
154,4
155,3
156,4
157,3
158,3
159,3
160,4
161,4
162,3
163,3
164,3
165,3
166,3
167,5
168,3
169,3
170,4
171,3
172,4
173,3
174,3
175,4
176,3
177,3
178,3
179,4
180,4
181,3
182,3
183,3
184,3
185,5
186,3
187,3
188,3
189,3
190,3
191,3
192,4
193,3
194,4
195,4
196,3
197,3
198,4
199,3
200,3
201,3
202,5
203,3
204,4
205,3
206,3
207,3
208,5
209,5
210,3
211,3
212,3
213,3
214,3
215,3
216,4
217,3
218,3
219,4
220,4
221,3
222,4
223,3
224,3
225,3
226,3
227,3
228,3
229,3
230,3
231,3
232,3
233,3
234,3
235,3
236,5
237,4
238,3
239,4
240,4
241,3
242,3
243,4
244,5
245,4
246,4
247,4
248,4
249,3
250,3
251,3
252,4
253,5
254,4
255,3
256,3
257,4
258,5
259,3
260,3
261,2
262,4
263,4
264,4
265,4
266,3
267,3
268,3
269,3
270,4
271,5
272,3
273,3
274,3
275,3
276,3
277,3
278,4
279,3
280,3
281,4
282,3
283,3
284,4
285,4
286,3
287,4
288,3
289,4
290,4
291,3
292,3
293,4
294,3
295,4
296,3
297,3
298,4
299,5
300,3
301,3
302,5
303,3
304,4
305,4
306,3
307,4
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,3
316,3
317,4
318,3
319,4
320,3
321,3
322,3
323,5
324,4
325,3
326,3
327,3
328,4
329,3
330,3
331,3
332,3
333,3
334,3
335,4
336,3
337,3
338,4
339,5
340,3
341,4
342,3
343,4
344,3
345,4
346,2
347,3
348,3
349,4
350,4
351,3
352,3
353,3
354,4
355,3
356,4
357,4
358,5
359,3
360,4
361,3
362,4
363,3
364,3
365,3
366,4
367,5
368,4
369,5
370,3
371,3
372,4
373,5
374,4
375,3
376,2
377,3
378,4
379,3
380,3
381,5
382,3
383,3
384,3
385,3
386,3
387,3
388,3
389,3
390,4
391,3
392,3
393,5
394,4
395,3
396,4
397,4
398,3
399,3
400,4
401,3
402,3
403,1
404,5
405,3
406,3
407,3
408,3
409,4
410,3
411,4
412,5
413,3
414,3
415,5
416,4
417,4
418,4
419,4
420,5
421,3
422,4
423,3
424,4
425,3
426,4
427,3
428,3
429,4
430,4
431,3
432,4
433,4
434,3
435,4
436,4
437,3
438,3
439,3
440,3
441,3
442,3
443,3
444,4
445,3
446,3
447,3
448,3
449,4
450,4
451,4
452,4
453,3
454,3
455,4
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,5
466,3
467,3
468,3
469,3
470,4
471,3
472,3
473,3
474,3
475,3
476,3
477,4
478,5
479,4
480,3
481,3
482,3
483,4
484,5
485,3
486,4
487,3
488,3
489,3
490,3
491,3
492,5
493,4
494,4
495,3
496,4
497,4
498,3
499,3
500,4
501,3
502,3
503,3
504,3
505,4
506,4
507,4
508,3
509,3
510,4
511,3
512,4
513,4
514,4
515,3
516,3
517,5
518,3
519,5
520,3
521,4
522,3
523,3
524,4
525,3
526,4
527,3
528,3
529,3
530,5
531,3
532,5
533,4
534,5
535,3
536,4
537,5
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,4
548,3
549,3
550,3
551,3
552,4
553,3
554,4
555,5
556,3
557,3
558,3
559,5
560,4
561,3
562,4
563,3
564,5
565,4
566,3
567,4
568,3
569,4
570,5
571,4
572,3
573,4
574,4
575,3
576,3
577,4
578,4
579,3
580,3
581,4
582,2
583,3
584,3
585,3
586,3
587,4
588,3
589,3
590,3
591,3
592,3
593,4
594,5
595,5
596,4
597,3
598,5
599,3
600,4
601,4
602,4
603,3
604,5
605,4
606,4
607,3
608,3
609,3
610,3
611,3
612,4
613,3
614,4
615,3
616,4
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,4
628,3
629,4
630,5
631,4
632,4
633,5
634,3
635,3
636,3
637,3
638,5
